schema,table,ordinal,column,data_type
bi_jus_vn,etl_ingame_fuxinpcplayersay,36,scene,bigint
bi_jus_vn,etl_ingame_fuxinpcplayersay,37,server,varchar
bi_jus_vn,etl_ingame_fuxinpcplayersay,38,session_id,varchar
bi_jus_vn,etl_ingame_fuxinpcplayersay,39,shield,varchar
bi_jus_vn,etl_ingame_fuxinpcplayersay,40,tdid,varchar
bi_jus_vn,etl_ingame_fuxinpcplayersay,41,transid,varchar
bi_jus_vn,etl_ingame_fuxinpcplayersay,42,tsforvng,timestamp(6) with time zone
bi_jus_vn,etl_ingame_fuxinpcplayersay,43,udid,varchar
bi_jus_vn,etl_ingame_fuxinpcplayersay,44,unisdk_deviceid,varchar
bi_jus_vn,etl_ingame_fuxinpcplayersay,45,urs,varchar
bi_jus_vn,etl_ingame_fuxinpcplayersay,46,ds,date
bi_jus_vn,etl_ingame_gardenfarmanimalharvest,1,log_type,varchar
bi_jus_vn,etl_ingame_gardenfarmanimalharvest,2,__event_id,varchar
bi_jus_vn,etl_ingame_gardenfarmanimalharvest,3,account_id,varchar
bi_jus_vn,etl_ingame_gardenfarmanimalharvest,4,animal_level,bigint
bi_jus_vn,etl_ingame_gardenfarmanimalharvest,5,app_channel,varchar
bi_jus_vn,etl_ingame_gardenfarmanimalharvest,6,app_ver,varchar
bi_jus_vn,etl_ingame_gardenfarmanimalharvest,7,caid,varchar
bi_jus_vn,etl_ingame_gardenfarmanimalharvest,8,country_code,varchar
bi_jus_vn,etl_ingame_gardenfarmanimalharvest,9,device_height,varchar
bi_jus_vn,etl_ingame_gardenfarmanimalharvest,10,device_model,varchar
bi_jus_vn,etl_ingame_gardenfarmanimalharvest,11,device_width,varchar
bi_jus_vn,etl_ingame_gardenfarmanimalharvest,12,engine_ver,varchar
bi_jus_vn,etl_ingame_gardenfarmanimalharvest,13,imei,varchar
bi_jus_vn,etl_ingame_gardenfarmanimalharvest,14,is_emulator,varchar
bi_jus_vn,etl_ingame_gardenfarmanimalharvest,15,is_root,varchar
bi_jus_vn,etl_ingame_gardenfarmanimalharvest,16,isp,varchar
bi_jus_vn,etl_ingame_gardenfarmanimalharvest,17,language,varchar
bi_jus_vn,etl_ingame_gardenfarmanimalharvest,18,mac_addr,varchar
bi_jus_vn,etl_ingame_gardenfarmanimalharvest,19,network,varchar
bi_jus_vn,etl_ingame_gardenfarmanimalharvest,20,oaid,varchar
bi_jus_vn,etl_ingame_gardenfarmanimalharvest,21,old_accountid,varchar
bi_jus_vn,etl_ingame_gardenfarmanimalharvest,22,os_name,varchar
bi_jus_vn,etl_ingame_gardenfarmanimalharvest,23,os_ver,varchar
bi_jus_vn,etl_ingame_gardenfarmanimalharvest,24,region,varchar
bi_jus_vn,etl_ingame_gardenfarmanimalharvest,25,role_id,varchar
bi_jus_vn,etl_ingame_gardenfarmanimalharvest,26,server,varchar
bi_jus_vn,etl_ingame_gardenfarmanimalharvest,27,tdid,varchar
bi_jus_vn,etl_ingame_gardenfarmanimalharvest,28,transid,varchar
bi_jus_vn,etl_ingame_gardenfarmanimalharvest,29,tsforvng,timestamp(6) with time zone
bi_jus_vn,etl_ingame_gardenfarmanimalharvest,30,udid,varchar
bi_jus_vn,etl_ingame_gardenfarmanimalharvest,31,unisdk_deviceid,varchar
bi_jus_vn,etl_ingame_gardenfarmanimalharvest,32,urs,varchar
bi_jus_vn,etl_ingame_gardenfarmanimalharvest,33,ds,date
bi_jus_vn,etl_ingame_gardenfarmcropharvest,1,log_type,varchar
bi_jus_vn,etl_ingame_gardenfarmcropharvest,2,__event_id,varchar
bi_jus_vn,etl_ingame_gardenfarmcropharvest,3,account_id,varchar
bi_jus_vn,etl_ingame_gardenfarmcropharvest,4,app_channel,varchar
bi_jus_vn,etl_ingame_gardenfarmcropharvest,5,app_ver,varchar
bi_jus_vn,etl_ingame_gardenfarmcropharvest,6,caid,varchar
bi_jus_vn,etl_ingame_gardenfarmcropharvest,7,country_code,varchar
bi_jus_vn,etl_ingame_gardenfarmcropharvest,8,crop_level,bigint
bi_jus_vn,etl_ingame_gardenfarmcropharvest,9,device_height,varchar
bi_jus_vn,etl_ingame_gardenfarmcropharvest,10,device_model,varchar
bi_jus_vn,etl_ingame_gardenfarmcropharvest,11,device_width,varchar
bi_jus_vn,etl_ingame_gardenfarmcropharvest,12,engine_ver,varchar
bi_jus_vn,etl_ingame_gardenfarmcropharvest,13,imei,varchar
bi_jus_vn,etl_ingame_gardenfarmcropharvest,14,is_emulator,varchar
bi_jus_vn,etl_ingame_gardenfarmcropharvest,15,is_root,varchar
bi_jus_vn,etl_ingame_gardenfarmcropharvest,16,isp,varchar
bi_jus_vn,etl_ingame_gardenfarmcropharvest,17,language,varchar
bi_jus_vn,etl_ingame_gardenfarmcropharvest,18,mac_addr,varchar
bi_jus_vn,etl_ingame_gardenfarmcropharvest,19,network,varchar
bi_jus_vn,etl_ingame_gardenfarmcropharvest,20,oaid,varchar
bi_jus_vn,etl_ingame_gardenfarmcropharvest,21,old_accountid,varchar
bi_jus_vn,etl_ingame_gardenfarmcropharvest,22,os_name,varchar
bi_jus_vn,etl_ingame_gardenfarmcropharvest,23,os_ver,varchar
bi_jus_vn,etl_ingame_gardenfarmcropharvest,24,region,varchar
bi_jus_vn,etl_ingame_gardenfarmcropharvest,25,role_id,varchar
bi_jus_vn,etl_ingame_gardenfarmcropharvest,26,server,varchar
bi_jus_vn,etl_ingame_gardenfarmcropharvest,27,tdid,varchar
bi_jus_vn,etl_ingame_gardenfarmcropharvest,28,transid,varchar
bi_jus_vn,etl_ingame_gardenfarmcropharvest,29,tsforvng,timestamp(6) with time zone
bi_jus_vn,etl_ingame_gardenfarmcropharvest,30,udid,varchar
bi_jus_vn,etl_ingame_gardenfarmcropharvest,31,unisdk_deviceid,varchar
bi_jus_vn,etl_ingame_gardenfarmcropharvest,32,urs,varchar
bi_jus_vn,etl_ingame_gardenfarmcropharvest,33,ds,date
bi_jus_vn,etl_ingame_gardenmakeharvest,1,log_type,varchar
bi_jus_vn,etl_ingame_gardenmakeharvest,2,__event_id,varchar
bi_jus_vn,etl_ingame_gardenmakeharvest,3,account_id,varchar
